Rows Per Page:,Einträge pro Seite
Total Pages:,von
Current Page:,Seite
First Page,<<
Previous Page,<
Next Page,>
Last Page,>>
Mass Actions:,Aktionen
Select an action,Aktion auswählen
Total selected:, Ausgewählt:
reset selection, Auswahl zurücksetzen
Actions,Aktionen
All Store Views,Alle Store Views
Reset filters,Filter zurücksetzen
Display,Spalten
No %1 found.,Keine %1 gefunden.
From:,Von:
To:,Bis:
Are you sure?,Sind sie sicher?
Please select the records to apply the mass action to., Sie haben nichts ausgewählt!
